"list-image src","list-image src 2","list-image src 3","list-image src 4","list-image src 5","image href","img-responsive src","product-name","product-desc","r-number","price","price 2","label-sale","price-old","price-old 2","price-new"
"https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/shokolad-lotus-biscoff-milk-chocolate-biscoff-spread-180g-3-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/shokolad-lotus-biscoff-milk-chocolate-biscoff-spread-180g-5-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/shokolad-lotus-biscoff-milk-chocolate-biscoff-spread-180g-6-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/shokolad-lotus-biscoff-milk-chocolate-biscoff-spread-180g-1-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/shokolad-lotus-biscoff-milk-chocolate-biscoff-spread-180g-2-50x50.webp","https://choco-yummy.com.ua/ua/lotus-biscoff-milk-chocolate-biscoff-spread-180g","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/shokolad-lotus-biscoff-milk-chocolate-biscoff-spread-180g-4-200x200.webp","Шоколад з печивом Lotus Biscoff Milk Chocolate Biscoff Spread 180г","Цей шоколад не має собі рівних..","0.0","649","грн.","","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/kinder-easter-heart-2-50x50.webp","","","","","https://choco-yummy.com.ua/ua/kinder-uberraschung-easter-heart","https://choco-yummy.com.ua/image/cache/catalog/photo-2026-03-13-12-52-40-200x200.webp","Kinder Uberraschung Великоднє Серце 53G","Як часто через проблеми, складності та купу справ ми забуваємо говорити близьким, що любимо їх?Xас в..","5.0","","","-43%","349","грн.","199"
"https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/nabir-yaec-kinder-joy-funko-pop-harry-potter-return-hogwards-3x20g-4-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/nabir-yaec-kinder-joy-funko-pop-harry-potter-return-hogwards-3x20g-2-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/nabir-yaec-kinder-joy-funko-pop-harry-potter-return-hogwards-3x20g-3-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/blok-yaec-kinder-joy-funko-pop-harry-potter-return-hogvards-72x20g-5-50x50.webp","","https://choco-yummy.com.ua/ua/kinder-joy-funko-pop-harry-potter-return-hogwards-3x20g","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/nabir-yaec-kinder-joy-funko-pop-harry-potter-return-hogwards-3x20g-1-200x200.webp","Kinder Гаррі Поттер Kinder Joy Funko Pop Harry Potter Return to Hogwarts Набір яєць 3x20г","Ну що, гриффіндорці, повертаємося до Хоґвортсу?У кожному яйці — дві половинки:друга — капсула з екск..","0.0","549","грн.","","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/yajce-kinder-surprise-fairy-disney-egg-20g-5-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/yajce-kinder-surprise-fairy-disney-egg-20g-1-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/yajce-kinder-surprise-fairy-disney-egg-20g-3-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/yajce-kinder-surprise-fairy-disney-egg-20g-2-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/yajce-kinder-surprise-fairy-disney-egg-20g-4-50x50.webp","https://choco-yummy.com.ua/ua/kinder-surprise-fairy-disney-egg-20g","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/yajce-kinder-surprise-fairy-disney-egg-20g-6-200x200.webp","Kinder для дівчаток Kinder Surprise Fairy Disney Egg Феї 20г","Крильця, блискітки... справжня магія!Тепер додамо інтриги: на вкладишах є код Applaydu — значить, гр..","0.0","89","грн.","","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-bubbly-white-95-50x50.webp","","","","","https://choco-yummy.com.ua/ua/milka-bubbly-white","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-bubbly-white-95-200x200.webp","Milka Bubbly Білий 95г","Фіолетова корівка не перестає нас радувати, тому приготуйтеся до чергової смакоти в нашому асортимен..","0.0","99","грн.","","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-hazelnut-50x50.webp","","","","","https://choco-yummy.com.ua/ua/milka-hazelnut","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-hazelnut-200x200.webp","Milka Hazelnut","Смачний молочний шоколад Milka Hazelnut поєднаний з меленим лісовим горіхом...","0.0","99","грн.","","","",""
"","","","","","https://choco-yummy.com.ua/ua/milka-mmax-nussini","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-mmax-nussini-200x200.webp","Milka mmax Nusinni 270g","Супер велика, супер смачна та супер горіхова - Milka mmax Nusinni 270g!!!!!Milka mmax Nusinni - це н..","0.0","259","грн.","","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-noisette300-50x50.webp","","","","","https://choco-yummy.com.ua/ua/milka-noisette300","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-noisette300-200x200.webp","Milka Noisette 270г","Milka Noisette – це велика плитка справжнього задоволення. Ніжний альпійський шоколад просто тане в ..","0.0","269","грн.","","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-oreo-choco1-50x50.webp","","","","","https://choco-yummy.com.ua/ua/milka-oreo-brownie","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-oreo-choco1-200x200.webp","Milka Oreo Brownie 100г","НЕРЕАЛЬНО НОВА Будемо дивувати!) Тепер у нас ще більше оригінальної Мілки з незвичайними с..","0.0","99","грн.","","","",""
"","","","","","https://choco-yummy.com.ua/ua/milka-peanut-crisp","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-peanut-crispy-caramel-90-200x200.webp","Milka Peanut Crisp Caramel","Шоколад Мілка молочний з карамеллю і арахісом - це чудовий шоколад для любителів солодких ласощів. І..","0.0","99","грн.","","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-trauben-nuss-100g1-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-trauben-nuss-100g2-50x50.webp","","","","https://choco-yummy.com.ua/ua/milka-trauben-nuss-100","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-trauben-nuss-100g-200x200.webp","Milka Raisins Hazelnuts 100г","Шоколаду MILKA багато не буває! Тепер у нас ще більше оригінальної Мілки з незвичайними смаками..","0.0","99","грн.","","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-trauben-nuss-3001-50x50.webp","","","","","https://choco-yummy.com.ua/ua/milka-trauben-nuss-300","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-trauben-nuss-300-200x200.webp","Milka Trauben Nuss Родзинки і Горіхи 270г","Великі 300 грамові MILKA вже тут!) Для тих, кому мало звичайної порції) • MILKA TRAUBEN-NU..","0.0","259","грн.","","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-triolade-3001-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-triolade-3000-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-triolade-3002-50x50.webp","","","https://choco-yummy.com.ua/ua/milka-triolade280","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-triolade280-200x200.webp","Milka Triolade 300г","Великі 300 грамові MILKA вже тут!) Для тих, кому мало звичайної порції) • MILKA TRIOLADE –..","0.0","279","грн.","","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-whole-hazelnuts300-50x50.webp","","","","","https://choco-yummy.com.ua/ua/milka-whole-hazelnuts300","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-whole-hazelnuts300-200x200.webp","Milka Whole Hazelnuts 270г","Шоколад Мілка з цільними лісовими горіхами. Неповторний смак, вдале і багатьма улюблене поєднання ні..","0.0","259","грн.","","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-daim-100g2-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/shokolad-milka-daim-2-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/shokolad-milka-daim-3-50x50.webp","","","https://choco-yummy.com.ua/ua/milka-daim","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/shokolad-milka-daim-1-200x200.webp","Milka Карамель Daim 100г","Шоколад зі шматочками карамелі звучить надто звичайно, але що якщо додати до цього трохи солі?Так і ..","0.0","99","грн.","","","",""
"","","","","","https://choco-yummy.com.ua/ua/milka-schoko-bisquit","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-mmmax-schoko-and-keks-300-200x200.webp","Milka Печиво Бісквіт 300г","Ми подумали і вирішили!) Вирішили зібрати повну колекцію 300г шоколадок у себе в магазині!)&nbs..","0.0","259","грн.","","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-strawberry-300-50x50.webp","","","","","https://choco-yummy.com.ua/ua/milka-strawberry","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-strawberry-300-200x200.webp","Milka Полуниця 300г","Для тих, кому мало звичайної порції) • MILKA STRAWBERRY MMMAX ― це шматочок літа навіть в самий..","5.0","269","грн.","","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-truffle-and-almonds1-50x50.webp","","","","","https://choco-yummy.com.ua/ua/milka-truffle-and-almonds","https://choco-yummy.com.ua/image/cache/catalog/znimokekrana2025-01-17o13.08.08-200x200.webp","Milka Трюфель Мигдаль 300г","Колекція величезних Milka продовжує поповнюватись!Милка з начинкою з ніжного трюфеля зі шматочками м..","0.0","279","грн.","","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/toblerone-dark-chocolate-with-honey-and-almond-nougat-50x50.webp","","","","","https://choco-yummy.com.ua/ua/toblerone-dark-chocolate-with-honey-and-almond-nougat","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/toblerone-dark-chocolate-with-honey-and-almond-nougat-200x200.webp","Toblerone Dark Chocolate With Honey & Almond Nougat","Шоколад Toblerone Dark Chocolane Honey Almond Nougat - це найсмачніший чорний швейцарський шоколад у..","0.0","149","грн.","","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/toblerone-milk-chocolate-with-honey-and-almond-nougat-50x50.webp","","","","","https://choco-yummy.com.ua/ua/toblerone-milk-chocolate-with-honey-and-almond-nougat","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/toblerone-milk-chocolate-with-honey-and-almond-nougat-200x200.webp","Toblerone Milk Chocolate With Honey & Almond Nougat","Всім підкорювачам гір приготується! Адже у нас з'явилася нова вершина для ваших смакових сходжень!To..","0.0","149","грн.","","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/toblerone-milk-chocolate-with-honey-and-almond-nougat35-50x50.webp","","","","","https://choco-yummy.com.ua/ua/toblerone-milk-chocolate-with-honey-and-almond-nougat35","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/toblerone-milk-chocolate-with-honey-and-almond-nougat35-200x200.webp","Toblerone Milk Chocolate With Honey & Almond Nougat 35г","Toblerone Milk Chocolate With Honey & Almond Nougat - Ніжний молочний шоколад із різних сортів к..","0.0","49","грн.","","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/toblerone-white-chocolate-with-honey-and-almond-nougat-50x50.webp","","","","","https://choco-yummy.com.ua/ua/toblerone-white-chocolate-with-honey-and-almond-nougat","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/toblerone-white-chocolate-with-honey-and-almond-nougat-200x200.webp","Toblerone White Chocolate With Honey & Almond Nougat","Шоколад Toblerone White Chocolate With Honey & Almond Nougat ― ексклюзивний швейцарський шо..","0.0","149","грн.","","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/toblerone-fruit-nut-50x50.webp","","","","","https://choco-yummy.com.ua/ua/toblerone-fruit-nut","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/toblerone-fruit-nut-200x200.webp","Toblerone Родзинки Мед Мигдальний Нуга","Швейцарський шоколад преміум-якості TOBLERONE! ⠀Шоколадка виконана у формі маленьких пірамідок ..","0.0","139","грн.","","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/star-wars-mandalorian-christmas-advent-calendar-50g_2-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/star-wars-mandalorian-christmas-advent-calendar-50g_1-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/star-wars-mandalorian-christmas-advent-calendar-50g_5-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/star-wars-mandalorian-christmas-advent-calendar-50g_4-50x50.webp","","https://choco-yummy.com.ua/ua/2023-star-wars-mandalorian-christmas-advent-calendar-50g","https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/star-wars-mandalorian-christmas-advent-calendar-50g_3-200x200.webp","Адвент календар 2023 з шоколадками Star Wars Mandalorian Christmas Advent Calendar 50г","У Всесвіті ""Зоряних воєн"" роздають подарунки! Напередодні свят ми вирішили потішити всіх шанувальник..","0.0","399","грн.","","","",""
