"list-image src","list-image src 2","list-image src 3","image href","img-responsive src","product-name","product-desc","r-number","price","price 2","list-image src 4"
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/energetik-red-bull-krating-daeng-vitamin-800-thai-145ml-4-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/energetik-red-bull-krating-daeng-vitamin-800-thai-145ml-3-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/energetik-red-bull-krating-daeng-vitamin-800-thai-145ml-2-50x50.webp","https://choco-yummy.com.ua/ua/red-bull-krating-daeng-vitamin-800-energy-drink-thai-145ml","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/energetik-red-bull-krating-daeng-vitamin-800-thai-145ml-1-200x200.webp","Енергетик Red Bull Krating Daeng Vitamin 800 Energy Drink Thai 145мл","Той самий Krating Daeng, з якого все почалося — оригінальний Red Bull із Таїланду!Енергетик у скляні..","0.0","179","грн.",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/energetik-monster-energy-reserve-peaches-n-creme-473ml-1-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/energetik-monster-energy-reserve-peaches-n-creme-473ml-2-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/energetik-monster-energy-reserve-peaches-n-creme-473ml-3-50x50.webp","https://choco-yummy.com.ua/ua/monster-energy-reserve-peaches-n-creme-473ml","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/energetik-monster-energy-reserve-peaches-n-creme-473ml-6-200x200.webp","Енергетик Monster Energy Reserve Peaches N Creme 473мл","Персик і вершки... ммм, звучить ніжно і мега-смачно) За фактом, це яскравий і зухвалий Monster Energ..","0.0","399","грн.","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/energetik-monster-energy-reserve-peaches-n-creme-473ml-4-50x50.webp"
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/kartridzh-cirkul-puressence-peach-1-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/kartridzhi-cirkul-puressence-variety-pack-3x2pcs-3-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/brand_pic/cartridge-cirkul-3-50x50.webp","https://choco-yummy.com.ua/ua/cirkul-puressence-cartridge-peach","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/kartridzh-cirkul-puressence-peach-200x200.webp","Картридж для напоїв Cirkul Puressence Cartridge Peach Персик 1шт","Додайте своїй воді ніжного фруктового смаку. Cirkul Puressence Peach - це картридж, який перетворює ..","0.0","","","https://choco-yummy.com.ua/image/cache/catalog/Products/brand_pic/cartridge-cirkul-2-50x50.webp"
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/chupa-chups-mango-345ml-50x50.webp","","","https://choco-yummy.com.ua/ua/chupa-chups-sparkling-mango-345","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/chupa-chups-mango-345ml-200x200.webp","Chupa Chups газировка Манго 345мл","Новинки Chupa Chups завжди яскраві, смачні та незвичайні!Так що зустрічайте газовану воду зі смаком ..","0.0","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/chupa-chups-sparkling-50x50.webp","","","https://choco-yummy.com.ua/ua/chupa-chups-sparkling-orange","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/chupa-chups-sparkling-orange-200x200.webp","Chupa Chups газована вода Апельсин 345мл","Новинки Chupa Chups завжди яскраві, смачні та незвичайні!Так що зустрічайте газування зі смаком соло..","4.5","79","грн.",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/chupa-chups-sparkling-50x50.webp","","","https://choco-yummy.com.ua/ua/chupa-chups-sparkling-grape","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/chupa-chups-sparkling-grape-200x200.webp","Chupa Chups газована вода Виноград 345мл","Новинки Chupa Chups завжди яскраві, смачні та незвичайні!Так що зустрічайте газування зі смаком соло..","0.0","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/chupa-chups-sparkling-cherry-bubble-gum-1-50x50.webp","","","https://choco-yummy.com.ua/ua/chupa-chups-sparkling-cherry-bubble-gum","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/chupa-chups-sparkling-cherry-bubble-gum-200x200.webp","Chupa Chups газована вода Вишнева Гумка 345мл","Новинки Chupa Chups завжди яскраві, смачні та незвичайні!Так що зустрічайте напій зі смаком солодкої..","0.0","99","грн.",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/chupa-chups-sparkling-watermelon-1-50x50.webp","","","https://choco-yummy.com.ua/ua/chupa-chups-sparkling-watermelon","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/chupa-chups-sparkling-watermelon-200x200.webp","Chupa Chups газована вода Кавун 345мл","Новинки Chupa Chups завжди яскраві, смачні та незвичайні!Так що зустрічайте напій зі смаком солодког..","0.0","","",""
"","","","https://choco-yummy.com.ua/ua/chupa-chups-sour-blueberry-345","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/chupa-chups-sour-blueberry-345-200x200.webp","Chupa Chups газована вода Кисла Чорниця 345мл","Новинки Chupa Chups завжди яскраві, смачні та незвичайні!Так що зустрічайте газування зі смаком кисл..","0.0","79","грн.",""
"","","","https://choco-yummy.com.ua/ua/chupa-chups-sparkling-sour-apple","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/chupa-chups-sparkling-sour-apple-200x200.webp","Chupa Chups газована вода Кисле Яблуко 345мл","Новинки Chupa Chups завжди яскраві, смачні та незвичайні!Так що зустрічайте газування зі смаком кисл..","5.0","79","грн.",""
